date,temperature,humidity,rainfall
2015-02-25,8.57,76.17,4.4
2015-02-26,9.08,88.86,19.2
2015-02-27,11.2,84.23,8.1
2015-02-28,10.88,90.76,10.1
2015-03-01,11.33,86.13,3.1
2015-03-02,10.99,84.86,0.0
2015-03-03,13.62,87.92,8.7
2015-03-04,13.6,74.25,0.0
2015-03-05,13.87,78.13,28.2
2015-03-06,11.28,92.52,40.2
2015-03-07,11.58,61.53,0.9
2015-03-08,11.6,44.17,0.0
2015-03-09,12.71,42.83,0.0
2015-03-10,11.58,60.24,0.0
2015-03-11,10.23,82.81,0.3
2015-03-12,9.08,74.11,0.0
2015-03-13,5.3,89.25,0.0
2015-03-14,,,0.0
2015-03-15,13.73,62.92,0.0
2015-03-16,13.41,50.39,0.0
2015-03-17,13.8,36.52,0.0
2015-03-18,12.86,42.92,0.0
2015-03-19,9.95,83.02,5.4
2015-03-20,9.49,48.78,0.3
2015-03-21,8.66,44.4,0.0
2015-03-22,7.39,78.03,2.6
2015-03-23,13.13,90.37,4.9
2015-03-24,15.88,75.82,0.6
2015-03-25,13.49,77.94,10.2
2015-03-26,13.96,79.31,10.9
2015-03-27,12.62,95.15,27.5
2015-03-28,12.62,84.65,4.8
2015-03-29,14.52,77.02,0.0
2015-03-30,13.11,78.27,2.3
2015-03-31,14.01,78.25,0.4
2015-04-01,13.16,87.25,0.0
2015-04-02,14.33,67.93,0.0
2015-04-03,12.23,67.74,0.0
2015-04-04,12.37,60.35,0.0
2015-04-05,11.65,89.6,26.8
2015-04-06,14.59,73.97,14.6
2015-04-07,9.78,67.71,0.0
2015-04-08,10.54,55.69,0.2
2015-04-09,11.98,45.24,0.0
2015-04-10,13.49,51.77,0.0
2015-04-11,12.64,71.83,0.0
2015-04-12,12.85,81.53,0.0
2015-04-13,15.59,75.1,0.0
2015-04-14,14.78,75.85,0.8
2015-04-15,16.15,73.49,0.0
2015-04-16,15.5,74.92,0.0
2015-04-17,14.78,72.96,0.0
2015-04-18,16.26,67.52,0.0
2015-04-19,15.76,81.69,0.0
2015-04-20,16.66,76.01,0.0
2015-04-21,14.87,66.01,0.0
2015-04-22,15.91,58.74,0.0
2015-04-23,15.2,69.68,0.0
2015-04-24,15.54,82.29,0.0
2015-04-25,16.08,74.11,0.6
2015-04-26,17.07,71.65,0.0
2015-04-27,17.42,73.41,0.0
2015-04-28,17.26,77.5,0.0
2015-04-29,18.11,80.05,0.2
2015-04-30,17.37,81.73,0.0
