date,temperature,humidity,rainfall
2015-02-20,20.45,38.25,0.3
2015-02-21,,,0.0
2015-02-22,,,0.0
2015-02-23,,,0.0
2015-02-24,,,0.0
2015-02-25,,,0.0
2015-02-26,,,0.0
2015-02-27,,,0.0
2015-02-28,,,0.0
2015-03-01,,,0.0
2015-03-02,,,0.0
2015-03-03,14.41,88.43,0.0
2015-03-04,13.06,69.69,0.0
2015-03-05,14.27,74.53,1.8
2015-03-06,11.05,96.39,28.8
2015-03-07,10.65,70.82,0.0
2015-03-08,9.95,59.31,0.0
2015-03-09,9.91,62.94,0.0
2015-03-10,9.63,76.01,0.0
2015-03-11,9.1,89.01,1.8
2015-03-12,7.74,72.98,0.0
2015-03-13,4.55,95.25,0.0
2015-03-14,,,0.0
2015-03-15,12.17,69.6,0.0
2015-03-16,10.68,56.04,0.0
2015-03-17,11.04,59.03,0.0
2015-03-18,10.38,61.88,0.0
2015-03-19,9.67,83.11,7.5
2015-03-20,8.8,40.27,0.0
2015-03-21,6.52,59.38,0.0
2015-03-22,7.13,82.91,1.5
2015-03-23,13.48,87.57,0.6
2015-03-24,14.92,69.77,0.0
2015-03-25,11.38,95.45,6.9
2015-03-26,12.7,83.38,6.0
2015-03-27,12.34,93.89,9.6
2015-03-28,11.88,80.26,3.9
2015-03-29,13.4,73.28,0.0
2015-03-30,11.62,75.68,1.1
2015-03-31,13.08,76.95,0.1
2015-04-01,12.74,81.26,0.0
2015-04-02,13.99,63.7,0.0
2015-04-03,11.3,77.93,0.0
2015-04-04,11.31,70.94,0.0
2015-04-05,11.41,92.47,11.5
2015-04-06,14.13,79.72,6.3
2015-04-07,9.09,71.5,0.2
2015-04-08,9.73,71.79,0.0
2015-04-09,9.25,66.0,0.0
2015-04-10,11.34,66.14,0.0
2015-04-11,11.35,72.42,0.0
2015-04-12,12.07,75.48,0.0
2015-04-13,14.43,83.06,0.0
2015-04-14,13.67,78.38,0.3
2015-04-15,14.88,71.99,0.0
2015-04-16,14.47,71.49,0.0
2015-04-17,13.78,67.58,0.0
2015-04-18,15.67,70.94,0.0
2015-04-19,14.64,75.29,0.0
2015-04-20,15.5,73.93,0.4
2015-04-21,14.1,69.81,0.0
2015-04-22,14.79,69.16,0.0
2015-04-23,14.62,73.81,0.0
2015-04-24,15.69,78.57,0.6
2015-04-25,14.12,70.8,0.3
2015-04-26,15.66,66.34,0.0
2015-04-27,15.98,71.63,0.0
2015-04-28,16.26,77.15,0.0
2015-04-29,17.64,82.57,0.9
2015-04-30,16.64,81.06,0.0
2015-05-01,16.65,73.58,0.0
2015-05-02,16.23,75.75,0.0
2015-05-03,16.95,68.83,0.0
2015-05-04,19.04,69.66,0.0
2015-05-05,19.03,72.51,0.0
2015-05-06,20.22,68.26,0.0
2015-05-07,20.69,73.25,0.0
2015-05-08,21.1,69.98,0.0
2015-05-09,20.6,69.28,0.0
2015-05-10,18.46,69.72,0.0
2015-05-11,15.61,77.12,4.1
2015-05-12,19.56,52.1,0.0
2015-05-13,17.77,72.19,0.0
2015-05-14,18.97,73.9,0.0
2015-05-15,18.97,72.09,0.0
2015-05-16,20.28,64.07,0.0
2015-05-17,20.12,64.96,0.0
2015-05-18,20.23,78.12,0.0
2015-05-19,18.12,78.75,7.8
2015-05-20,18.69,78.27,1.2
2015-05-21,19.45,79.08,0.1
2015-05-22,21.22,71.75,0.0
2015-05-23,18.83,69.68,0.0
2015-05-24,17.27,71.42,0.0
2015-05-25,17.41,70.3,0.0
2015-05-26,18.32,71.6,0.0
2015-05-27,18.16,83.53,0.0
2015-05-28,17.3,85.84,2.5
2015-05-29,17.94,66.16,0.0
2015-05-30,17.62,72.01,0.0
2015-05-31,18.54,73.3,0.0
2015-06-01,19.44,73.09,0.2
2015-06-02,20.71,62.9,0.0
2015-06-03,21.46,62.76,0.0
2015-06-04,21.44,70.91,0.0
2015-06-05,22.97,70.53,0.0
2015-06-06,21.89,67.62,0.0
2015-06-07,21.16,67.51,0.0
2015-06-08,22.39,69.46,0.6
2015-06-09,19.22,82.98,7.2
2015-06-10,19.34,71.47,9.7
2015-06-11,21.44,72.64,0.1
2015-06-12,23.96,60.98,0.0
2015-06-13,23.4,67.63,0.0
2015-06-14,24.19,66.08,0.0
2015-06-15,23.64,61.97,0.0
2015-06-16,24.21,76.88,0.0
2015-06-17,24.39,70.76,0.0
2015-06-18,21.62,70.32,1.1
2015-06-19,21.47,66.37,0.0
