date,temperature,humidity,rainfall
2015-02-19,5.68,27.75,1.0
2015-02-20,,,0.0
2015-02-21,,,0.0
2015-02-22,,,0.0
2015-02-23,,,0.0
2015-02-24,11.71,71.33,0.8
2015-02-25,9.79,86.85,23.4
2015-02-26,8.67,92.72,14.1
2015-02-27,10.52,88.12,10.8
2015-02-28,10.63,92.12,3.9
2015-03-01,11.2,84.85,2.1
2015-03-02,10.59,87.38,0.3
2015-03-03,13.4,89.46,7.8
2015-03-04,13.25,78.03,0.0
2015-03-05,13.79,79.08,10.4
2015-03-06,11.44,91.88,29.5
2015-03-07,11.31,64.85,0.3
2015-03-08,11.37,48.23,0.0
2015-03-09,11.73,50.3,0.0
2015-03-10,10.8,67.25,0.0
2015-03-11,9.82,85.47,1.2
2015-03-12,8.76,76.42,0.0
2015-03-13,7.28,84.25,0.0
2015-03-14,,,0.0
2015-03-15,13.15,66.25,0.0
2015-03-16,12.33,57.8,0.0
2015-03-17,12.57,45.59,0.0
2015-03-18,11.51,50.65,0.0
2015-03-19,9.99,79.85,7.2
2015-03-20,9.49,54.48,0.3
2015-03-21,8.22,47.81,0.0
2015-03-22,8.1,71.92,1.8
2015-03-23,13.51,84.51,1.8
2015-03-24,15.93,67.5,0.0
2015-03-25,12.63,81.97,13.5
2015-03-26,14.37,78.41,14.6
2015-03-27,12.53,96.09,30.1
2015-03-28,12.53,85.33,3.2
2015-03-29,13.65,79.47,0.4
2015-03-30,12.09,81.12,2.9
2015-03-31,13.18,81.35,0.1
2015-04-01,13.01,88.95,0.0
2015-04-02,13.5,71.91,0.0
2015-04-03,12.12,73.03,0.0
2015-04-04,12.57,60.23,0.0
2015-04-05,11.81,89.47,18.2
2015-04-06,14.43,76.25,7.0
2015-04-07,9.67,72.13,0.4
2015-04-08,10.15,64.19,0.0
2015-04-09,10.63,56.02,0.0
2015-04-10,12.33,60.0,0.0
2015-04-11,12.21,73.14,0.0
2015-04-12,12.4,82.52,0.0
2015-04-13,14.99,79.65,0.0
2015-04-14,14.44,79.24,0.6
2015-04-15,15.79,76.45,0.0
2015-04-16,15.32,76.4,0.0
2015-04-17,14.82,74.08,0.0
2015-04-18,16.53,67.32,0.0
2015-04-19,15.72,82.84,0.0
2015-04-20,16.29,77.24,0.0
2015-04-21,14.7,71.62,0.0
2015-04-22,15.94,61.01,0.0
2015-04-23,15.8,67.69,0.0
2015-04-24,15.97,81.67,0.4
2015-04-25,15.44,76.83,0.4
2015-04-26,16.94,72.22,0.0
2015-04-27,17.29,73.92,0.0
2015-04-28,17.45,74.99,0.0
2015-04-29,17.8,79.47,0.4
2015-04-30,16.4,83.12,0.0
2015-05-01,16.15,82.72,0.0
2015-05-02,15.87,82.72,0.0
2015-05-03,17.4,78.22,0.0
2015-05-04,19.36,74.4,0.0
2015-05-05,19.77,76.31,0.0
2015-05-06,20.78,72.88,0.0
2015-05-07,21.23,72.2,0.0
2015-05-08,21.99,74.91,0.0
2015-05-09,20.9,72.44,0.0
2015-05-10,20.41,58.46,0.0
2015-05-11,17.18,70.06,3.2
2015-05-12,20.47,42.59,0.0
2015-05-13,19.56,62.0,0.0
2015-05-14,19.26,77.24,0.0
2015-05-15,20.26,68.03,0.0
2015-05-16,21.59,62.02,0.0
2015-05-17,21.67,55.9,0.0
2015-05-18,20.89,71.17,0.0
2015-05-19,18.83,85.01,13.0
2015-05-20,19.13,84.42,5.0
2015-05-21,19.93,82.53,0.2
2015-05-22,21.8,73.1,0.0
2015-05-23,19.53,73.69,0.6
2015-05-24,17.68,75.15,0.0
2015-05-25,18.19,73.98,0.0
2015-05-26,18.89,75.31,0.0
2015-05-27,18.62,81.8,0.0
2015-05-28,17.66,85.97,2.2
2015-05-29,18.86,66.33,0.0
2015-05-30,18.58,73.1,0.0
2015-05-31,19.41,77.42,0.0
2015-06-01,21.08,71.72,0.0
2015-06-02,22.39,63.31,0.0
2015-06-03,22.77,59.41,0.0
2015-06-04,22.55,61.13,0.0
2015-06-05,24.06,59.97,0.0
2015-06-06,23.22,67.56,0.2
2015-06-07,22.49,58.39,0.2
2015-06-08,23.59,60.12,1.8
2015-06-09,19.82,89.64,5.2
2015-06-10,20.17,86.26,3.2
2015-06-11,22.37,78.85,0.2
2015-06-12,25.02,65.47,0.0
2015-06-13,24.54,70.01,0.0
2015-06-14,24.97,70.69,0.0
2015-06-15,24.21,71.35,0.0
2015-06-16,24.6,78.89,0.0
2015-06-17,24.97,74.6,0.0
2015-06-18,21.81,81.99,6.8
2015-06-19,21.95,73.83,0.2
2015-06-20,22.01,77.52,0.0
2015-06-21,22.3,76.19,0.0
2015-06-22,23.05,66.92,0.0
2015-06-23,21.54,68.63,0.0
2015-06-24,21.68,71.9,0.0
2015-06-25,22.76,75.14,0.0
2015-06-26,22.56,66.98,0.0
2015-06-27,21.55,64.71,0.0
2015-06-28,21.45,71.25,0.0
2015-06-29,23.28,67.57,0.0
2015-06-30,22.31,70.69,0.0
2015-07-01,22.08,73.16,1.4
2015-07-02,23.41,67.24,0.0
2015-07-03,25.58,65.37,0.0
2015-07-04,26.5,59.36,0.0
2015-07-05,25.44,66.91,0.0
2015-07-06,25.47,74.29,0.0
2015-07-07,27.24,69.42,0.0
2015-07-08,27.26,65.12,0.0
2015-07-09,26.27,72.97,0.0
2015-07-10,25.54,74.46,0.0
2015-07-11,25.64,75.51,0.0
2015-07-12,26.12,71.39,0.0
2015-07-13,25.94,67.69,0.0
2015-07-14,25.21,74.04,0.0
2015-07-15,28.32,63.15,0.0
2015-07-16,28.1,59.26,0.0
2015-07-17,28.75,56.39,0.0
2015-07-18,29.4,52.72,0.0
2015-07-19,30.91,37.06,0.0
2015-07-20,27.99,61.15,0.0
2015-07-21,30.88,57.61,0.0
2015-07-22,31.49,40.64,0.0
2015-07-23,28.55,51.32,0.0
2015-07-24,27.22,67.19,0.0
2015-07-25,26.87,74.72,0.0
2015-07-26,25.77,77.43,0.8
2015-07-27,26.83,78.03,0.0
2015-07-28,27.54,80.96,0.0
2015-07-29,28.71,75.85,0.0
2015-07-30,28.29,77.19,0.0
2015-07-31,28.63,75.99,0.0
2015-08-01,30.27,57.28,0.0
2015-08-02,30.35,58.73,0.0
2015-08-03,28.94,61.05,0.0
2015-08-04,25.82,70.95,8.6
2015-08-05,25.32,75.81,0.4
2015-08-06,29.55,49.81,0.0
2015-08-07,29.26,48.59,2.4
2015-08-08,27.9,45.61,0.0
2015-08-09,27.39,54.62,0.0
2015-08-10,25.42,65.51,0.2
2015-08-11,25.62,70.92,0.0
2015-08-12,25.05,76.81,0.2
2015-08-13,25.74,76.97,1.8
2015-08-14,26.34,70.87,6.0
2015-08-15,26.31,74.95,0.0
2015-08-16,26.83,75.06,0.6
2015-08-17,24.78,79.37,17.0
2015-08-18,24.93,74.92,0.0
2015-08-19,25.81,73.23,0.0
2015-08-20,25.3,75.84,0.0
2015-08-21,25.44,70.06,0.0
2015-08-22,24.7,73.03,0.0
2015-08-23,24.28,73.74,0.0
2015-08-24,25.08,70.69,0.0
2015-08-25,25.48,71.65,0.0
2015-08-26,26.24,68.19,0.0
2015-08-27,26.94,57.49,0.0
2015-08-28,25.63,61.83,0.0
2015-08-29,26.23,62.38,0.0
2015-08-30,27.59,46.04,0.0
2015-08-31,27.64,59.86,0.0
2015-09-01,26.75,56.85,0.0
2015-09-02,25.33,71.13,0.0
2015-09-03,25.72,80.57,0.0
2015-09-04,26.29,82.37,0.0
2015-09-05,26.49,74.1,0.0
2015-09-06,26.61,73.45,0.0
2015-09-07,26.04,72.09,0.0
2015-09-08,24.66,67.55,0.0
2015-09-09,23.01,76.51,5.6
2015-09-10,23.81,88.12,19.2
2015-09-11,22.83,85.49,31.2
2015-09-12,22.11,74.35,0.0
2015-09-13,23.69,68.74,0.0
2015-09-14,23.72,72.62,0.0
2015-09-15,24.13,75.79,0.0
2015-09-16,24.49,79.4,0.0
2015-09-17,25.24,81.4,0.0
2015-09-18,26.0,78.48,0.0
2015-09-19,27.05,66.38,0.0
2015-09-20,25.27,75.37,28.4
2015-09-21,18.4,93.76,8.6
2015-09-22,21.19,77.94,0.2
2015-09-23,22.19,80.28,0.0
2015-09-24,21.15,89.53,21.0
2015-09-25,19.21,98.86,13.8
2015-09-26,19.07,99.0,16.2
2015-09-27,19.82,86.06,0.2
2015-09-28,20.47,83.76,0.0
2015-09-29,20.82,80.92,0.0
2015-09-30,21.3,72.01,0.0
2015-10-01,19.75,65.56,0.0
2015-10-02,18.2,69.01,0.0
2015-10-03,19.03,72.72,0.0
2015-10-04,20.45,83.7,0.0
2015-10-05,20.13,85.6,0.0
2015-10-06,20.03,85.07,0.0
2015-10-07,19.5,91.77,5.4
2015-10-08,19.31,85.32,0.0
2015-10-09,19.79,82.18,0.0
2015-10-10,19.02,95.49,18.6
2015-10-11,22.33,85.74,6.8
2015-10-12,19.76,82.26,0.0
2015-10-13,17.03,84.24,0.0
2015-10-14,18.12,80.36,0.0
2015-10-15,19.39,81.9,0.0
2015-10-16,17.5,96.99,7.0
2015-10-17,19.11,94.48,12.4
2015-10-18,20.01,88.53,0.0
2015-10-19,20.97,87.95,0.0
2015-10-20,20.84,85.59,10.2
2015-10-21,20.04,91.65,16.2
2015-10-22,18.14,98.94,51.0
2015-10-23,17.44,80.69,0.4
2015-10-24,15.98,68.62,0.4
2015-10-25,14.86,70.91,0.0
2015-10-26,14.02,79.73,0.0
2015-10-27,14.5,77.39,0.0
2015-10-28,15.15,75.27,0.0
2015-10-29,13.9,73.76,0.0
2015-10-30,14.54,62.74,0.0
2015-10-31,16.07,52.24,0.0
2015-11-01,14.71,51.89,0.0
2015-11-02,13.73,59.93,0.0
2015-11-03,11.95,70.86,0.0
2015-11-04,12.36,72.16,0.0
2015-11-05,12.03,80.18,0.0
2015-11-06,12.37,82.0,0.0
2015-11-07,13.24,75.53,0.0
2015-11-08,13.4,76.32,0.0
2015-11-09,13.51,83.68,0.0
2015-11-10,14.74,84.92,0.0
2015-11-11,14.78,83.3,0.0
2015-11-12,15.47,86.35,0.0
2015-11-13,14.78,87.78,0.2
2015-11-14,14.55,90.74,0.0
2015-11-15,14.51,87.71,0.2
2015-11-16,13.78,89.1,0.0
2015-11-17,14.67,80.06,0.2
2015-11-18,14.39,89.15,0.0
2015-11-19,13.75,88.49,0.0
2015-11-20,15.84,89.94,0.0
2015-11-21,15.83,98.32,8.8
2015-11-22,18.38,86.32,20.8
2015-11-23,15.64,97.85,1.4
2015-11-24,16.03,93.85,13.4
2015-11-25,12.39,98.33,61.2
2015-11-26,11.46,98.88,27.8
2015-11-27,11.53,98.55,61.0
2015-11-28,11.35,95.71,17.6
2015-11-29,10.09,87.28,0.0
2015-11-30,7.62,87.72,0.2
2015-12-01,8.6,87.14,0.0
2015-12-02,9.59,85.38,0.0
2015-12-03,10.95,82.0,0.0
2015-12-04,11.55,84.03,0.0
2015-12-05,10.8,82.76,0.0
2015-12-06,9.56,86.6,0.0
2015-12-07,9.03,87.45,0.2
2015-12-08,8.48,85.19,0.2
2015-12-09,8.29,82.41,0.0
2015-12-10,9.33,80.41,0.0
2015-12-11,9.53,75.33,0.0
2015-12-12,7.17,73.51,0.0
2015-12-13,6.07,81.07,0.0
2015-12-14,6.73,84.51,0.0
2015-12-15,7.0,82.47,0.0
2015-12-16,7.72,75.69,0.0
2015-12-17,10.67,52.71,0.0
2015-12-18,7.4,68.74,0.0
2015-12-19,6.31,76.26,0.0
2015-12-20,8.76,75.26,0.0
2015-12-21,7.87,73.84,0.0
2015-12-22,7.34,83.77,0.0
2015-12-23,7.68,81.92,0.0
2015-12-24,7.79,85.85,0.0
2015-12-25,7.81,89.57,0.0
2015-12-26,8.96,80.15,0.0
2015-12-27,8.05,78.83,0.0
2015-12-28,7.81,82.14,0.0
